order_id,customer_id,product_id,quantity,order_date,status
55,51,9,10,2026-02-10,Cancelled
56,43,9,11,2026-02-21,Pending
57,47,2,6,2026-03-07,Cancelled
58,63,13,4,2026-03-03,Cancelled
59,13,33,9,2026-01-22,Cancelled
60,17,39,7,2026-03-06,Cancelled
61,22,29,1,2026-06-22,Pending
62,37,29,4,2026-04-10,Cancelled
63,61,13,6,2026-08-15,Cancelled
64,49,33,9,2026-03-27,Pending
65,18,17,1,2026-08-28,Delivered
66,16,19,2,2026-05-15,Delivered
67,56,6,4,2026-06-01,Pending
68,65,24,4,2026-02-12,Delivered
69,13,22,3,2026-01-10,Pending
71,20,36,12,2026-07-04,Delivered
72,39,8,1,2026-07-21,Pending
73,9,8,8,2026-01-21,Delivered
74,19,19,7,2026-06-08,Delivered
75,11,34,6,2026-01-13,Delivered
76,50,24,5,2026-01-12,Delivered
77,31,7,10,2026-06-05,Pending
78,44,12,11,2026-08-21,Delivered
79,9,30,1,2026-04-02,Delivered
80,41,20,9,2026-08-09,Cancelled
81,25,19,6,2026-06-09,Delivered
82,56,26,12,2026-07-11,Pending
83,64,24,9,2026-02-24,Pending
84,24,35,5,2026-02-03,Delivered
85,40,29,10,2026-07-06,Delivered
86,58,3,12,2026-07-09,Cancelled
87,8,5,11,2026-07-12,Cancelled
88,21,2,3,2026-08-02,Delivered
89,47,24,7,2026-01-20,Pending
90,48,24,8,2026-03-17,Delivered
91,36,16,2,2026-03-16,Pending
92,16,17,5,2026-08-07,Delivered
93,63,13,2,2026-02-15,Cancelled
94,57,6,11,2026-06-23,Pending
95,38,20,3,2026-03-26,Delivered
96,16,13,3,2026-08-01,Pending
97,48,30,9,2026-02-03,Cancelled
98,62,34,7,2026-02-05,Cancelled
99,10,29,8,2026-06-05,Cancelled
100,24,9,7,2026-01-27,Delivered
101,39,11,3,2026-04-12,Pending
102,37,6,5,2026-05-05,Pending
103,12,33,11,2026-03-06,Cancelled
104,44,37,1,2026-02-02,Cancelled
105,34,14,10,2026-01-16,Pending
106,38,20,8,2026-07-10,Cancelled
107,8,11,8,2026-08-15,Pending
108,19,21,12,2026-06-13,Delivered
109,14,21,4,2026-02-09,Delivered
110,13,4,5,2026-07-08,Delivered
111,42,37,12,2026-04-25,Pending
112,60,32,5,2026-01-03,Pending
113,59,16,4,2026-06-02,Pending
114,61,19,9,2026-02-14,Delivered
115,47,26,6,2026-07-02,Delivered
116,47,36,5,2026-07-17,Pending
117,36,40,11,2026-02-05,Pending
118,48,22,9,2026-03-07,Pending
119,65,3,1,2026-03-23,Pending
120,59,10,10,2026-03-11,Delivered
121,21,26,10,2026-05-19,Cancelled
122,63,37,5,2026-01-12,Delivered
123,54,38,5,2026-01-20,Cancelled
124,30,4,10,2026-03-17,Pending
125,49,10,11,2026-01-19,Delivered
126,25,2,8,2026-07-05,Delivered
127,53,33,10,2026-01-23,Delivered
128,42,31,9,2026-06-06,Pending
129,44,35,6,2026-05-20,Delivered
130,36,36,5,2026-05-25,Delivered
131,63,21,8,2026-05-10,Cancelled
132,49,26,6,2026-05-02,Cancelled
133,11,23,8,2026-05-24,Delivered
134,35,36,12,2026-03-04,Pending
135,31,16,1,2026-04-21,Delivered
136,53,22,12,2026-02-22,Delivered
137,21,27,11,2026-08-21,Delivered
138,42,19,11,2026-02-21,Pending
139,5,12,7,2026-01-27,Pending
140,24,19,1,2026-05-19,Delivered
141,37,30,11,2026-08-05,Pending
142,35,13,2,2026-03-24,Delivered
143,24,1,12,2026-05-19,Delivered
144,23,40,11,2026-07-17,Pending
146,31,29,5,2026-05-19,Delivered
147,34,24,12,2026-01-22,Delivered
148,21,26,11,2026-05-23,Delivered
149,48,40,4,2026-03-16,Cancelled
150,48,27,12,2026-08-25,Cancelled
151,28,16,11,2026-02-17,Cancelled
152,47,5,10,2026-01-27,Pending
153,26,37,9,2026-03-11,Pending
154,15,14,12,2026-08-03,Pending
155,8,30,3,2026-07-15,Pending
156,60,20,12,2026-07-09,Cancelled
157,28,38,2,2026-07-12,Pending
158,8,5,8,2026-05-14,Delivered
159,54,24,7,2026-07-13,Cancelled
160,18,23,2,2026-07-17,Delivered
161,1,2,5,2026-07-18,Delivered
162,32,30,6,2026-05-07,Cancelled
163,15,3,11,2026-01-08,Delivered
164,5,29,10,2026-01-08,Pending
165,57,15,9,2026-01-05,Delivered
166,30,37,6,2026-06-08,Delivered
167,29,27,5,2026-01-18,Cancelled
168,23,28,9,2026-01-12,Cancelled
169,49,34,6,2026-07-14,Pending
170,24,35,8,2026-04-10,Delivered
171,60,4,9,2026-07-18,Pending
172,32,17,4,2026-02-15,Delivered
173,25,4,5,2026-01-28,Cancelled
174,28,31,4,2026-05-01,Delivered
175,16,31,4,2026-04-13,Pending
176,42,19,7,2026-06-10,Pending
177,64,30,2,2026-08-25,Delivered
178,48,21,7,2026-04-24,Delivered
179,54,19,3,2026-06-08,Cancelled
180,32,32,9,2026-06-09,Pending
181,63,30,3,2026-06-06,Pending
182,63,12,9,2026-01-17,Cancelled
183,10,4,1,2026-03-27,Delivered
184,20,1,4,2026-08-12,Cancelled
186,36,35,5,2026-07-26,Delivered
187,14,7,9,2026-04-07,Delivered
188,46,18,7,2026-06-13,Delivered
189,29,20,11,2026-01-03,Pending
190,61,4,11,2026-03-03,Pending
191,43,37,2,2026-01-08,Cancelled
192,61,18,1,2026-05-18,Delivered
193,23,21,1,2026-03-25,Cancelled
194,51,5,5,2026-04-19,Pending
195,43,25,12,2026-02-17,Delivered
196,7,7,7,2026-02-11,Pending
197,51,21,1,2026-05-26,Pending
198,30,23,9,2026-07-06,Cancelled
199,49,6,10,2026-04-23,Delivered
200,20,25,12,2026-03-24,Delivered
201,14,6,1,2026-08-12,Delivered
202,17,6,3,2026-08-18,Pending
203,14,2,2,2026-02-20,Delivered
204,50,1,5,2026-07-25,Pending
205,32,37,9,2026-07-06,Delivered
206,35,32,3,2026-03-14,Delivered
207,62,5,6,2026-04-24,Pending
208,26,30,2,2026-05-01,Delivered
209,49,22,8,2026-07-27,Cancelled
210,18,20,6,2026-04-16,Pending
211,41,19,12,2026-08-19,Delivered
212,49,18,7,2026-02-19,Pending
213,24,36,1,2026-08-23,Cancelled
214,38,5,7,2026-08-05,Delivered
215,33,10,12,2026-07-03,Pending
216,62,38,7,2026-07-18,Delivered
217,11,7,4,2026-06-06,Delivered
218,52,22,7,2026-01-04,Pending
219,29,29,6,2026-08-25,Cancelled
220,65,10,6,2026-08-04,Delivered
221,15,10,6,2026-06-15,Pending
222,62,23,8,2026-08-24,Delivered
223,9,20,1,2026-02-01,Cancelled
224,14,11,12,2026-03-18,Pending
225,55,30,4,2026-03-06,Pending
226,51,2,12,2026-04-15,Pending
227,1,14,4,2026-02-19,Cancelled
228,24,24,6,2026-08-04,Cancelled
229,63,34,11,2026-07-20,Delivered
230,45,23,8,2026-03-27,Cancelled
231,39,40,10,2026-03-11,Delivered
232,15,12,6,2026-03-17,Pending
233,18,37,7,2026-03-16,Cancelled
234,23,36,3,2026-05-05,Cancelled
235,58,40,1,2026-01-16,Cancelled
236,50,36,9,2026-08-14,Pending
237,57,32,3,2026-01-26,Delivered
238,5,18,4,2026-05-06,Pending
239,64,36,9,2026-02-09,Cancelled
240,47,35,1,2026-08-18,Pending
241,14,16,5,2026-08-09,Cancelled
242,12,29,2,2026-04-26,Cancelled
243,45,40,11,2026-03-20,Delivered
244,27,4,10,2026-05-20,Delivered
245,38,19,10,2026-02-05,Cancelled
246,53,4,5,2026-03-23,Delivered
247,19,21,4,2026-07-16,Cancelled
248,35,27,7,2026-02-21,Cancelled
249,12,26,9,2026-05-23,Delivered
250,59,32,6,2026-01-28,Cancelled
251,12,30,11,2026-06-28,Pending
252,51,14,7,2026-08-09,Delivered
253,44,36,10,2026-08-26,Cancelled
254,7,3,2,2026-08-01,Cancelled
255,21,29,8,2026-07-07,Delivered
256,39,11,5,2026-06-09,Cancelled
257,22,4,7,2026-05-24,Delivered
258,55,6,12,2026-01-07,Delivered
259,29,34,11,2026-01-01,Cancelled
260,16,28,12,2026-08-03,Delivered
